TA_MOD,TA,RTO,Region
Ashburton Di,Ashburton District,South Canterbury,Canterbury
Auckland - Auckland City,Auckland,Auckland RTO,Auckland
Auckland - Franklin Di,Auckland,Auckland RTO,Auckland
Auckland - Manukau City,Auckland,Auckland RTO,Auckland
Auckland - North Shore City,Auckland,Auckland RTO,Auckland
Auckland - Papakura Di,Auckland,Auckland RTO,Auckland
Auckland - Rodney Di,Auckland,Auckland RTO,Auckland
Auckland - Waitakere City,Auckland,Auckland RTO,Auckland
Buller Di,Buller District,West Coast RTO,West Coast
Carterton Di,Carterton District,Wairarapa RTO,Wellington
Central Hawke's Bay Di,Central Hawke's Bay District,Hawke's Bay RTO,Hawke's Bay
Central Otago Di,Central Otago District,Central Otago RTO,Otago
Chatham Islands Territory,Chatham Islands,Chatham Islands,Canterbury
Christchurch City,Christchurch City,Christchurch,Canterbury
Clutha Di,Clutha District,Clutha,Otago
Dunedin City,Dunedin City,Dunedin RTO,Otago
Far North Di - North,Far North District,Northland RTO,Northland
Far North Di - South East,Far North District,Northland RTO,Northland
Far North Di - South West,Far North District,Northland RTO,Northland
Gisborne Di,Gisborne District,Gisborne RTO,Gisborne
Gore Di,Gore District,Southland RTO,Southland
Grey Di,Grey District,West Coast RTO,West Coast
Hamilton City,Hamilton City,Waikato RTO,Waikato
Hastings Di,Hastings District,Hawke's Bay RTO,Hawke's Bay
Hauraki Di,Hauraki District,Coromandel RTO,Waikato
Horowhenua Di,Horowhenua District,Kapiti-Horowhenua RTO,Manawatu-Wanganui
Hurunui Di,Hurunui District,North Canterbury,Canterbury
Invercargill City,Invercargill City,Southland RTO,Southland
Kaikoura Di,Kaikoura District,North Canterbury,Canterbury
Kaipara Di,Kaipara District,Northland RTO,Northland
Kapiti Coast Di,Kapiti Coast District,Kapiti-Horowhenua RTO,Wellington
Kawerau Di,Kawerau District,Kawerau-Whakatane,Bay of Plenty
Lower Hutt City,Lower Hutt City,Wellington RTO,Wellington
Mackenzie Di,Mackenzie District,South Canterbury,Canterbury
Manawatu Di,Manawatu District,Manawatu RTO,Manawatu-Wanganui
Marlborough Di,Marlborough District,Marlborough RTO,Marlborough
Masterton Di,Masterton District,Wairarapa RTO,Wellington
Matamata-Piako Di,Matamata-Piako District,Waikato RTO,Waikato
Napier Di,Napier City,Hawke's Bay RTO,Hawke's Bay
Nelson City,Nelson City,Nelson Tasman RTO,Nelson
New Plymouth Di,New Plymouth District,Taranaki RTO,Taranaki
Opotiki Di,Opotiki District,Gisborne RTO,Bay of Plenty
Otorohanga Di,Otorohanga District,Waikato RTO,Waikato
Palmerston North City,Palmerston North City,Manawatu RTO,Manawatu-Wanganui
Porirua City,Porirua City,Wellington RTO,Wellington
Queenstown Lakes Di - Queenstown,Queenstown-Lakes District,Queenstown RTO,Otago
Queenstown Lakes Di - Wanaka,Queenstown-Lakes District,Lake Wanaka RTO,Otago
Rangitikei Di,Rangitikei District,Manawatu RTO,Manawatu-Wanganui
Rotorua Di,Rotorua District,Rotorua RTO,Bay of Plenty
Ruapehu Di,Ruapehu District,Ruapehu RTO,Manawatu-Wanganui
Selwyn Di,Selwyn District,South Canterbury,Canterbury
South Taranaki Di,South Taranaki District,Taranaki RTO,Taranaki
South Waikato Di,South Waikato District,Waikato RTO,Waikato
South Wairarapa Di,South Wairarapa District,Wairarapa RTO,Wellington
Southland Di - Central/Eastern,Southland District,Southland RTO,Southland
Southland Di - Fiordland,Southland District,Fiordland RTO,Southland
Stratford Di,Stratford District,Taranaki RTO,Taranaki
Tararua Di,Tararua District,Manawatu RTO,Manawatu-Wanganui
Tasman Di,Tasman District,Nelson Tasman RTO,Tasman
Taupo Di,Taupo District,Lake Taupo RTO,Waikato
Tauranga City,Tauranga City,Bay of Plenty RTO,Bay of Plenty
Thames-Coromandel Di,Thames-Coromandel District,Coromandel RTO,Waikato
Timaru Di,Timaru District,South Canterbury,Canterbury
Upper Hutt City,Upper Hutt City,Wellington RTO,Wellington
Waikato Di,Waikato District,Waikato RTO,Waikato
Waimakariri Di,Waimakariri District,North Canterbury,Canterbury
Waimate Di,Waimate District,South Canterbury,Canterbury
Waipa Di,Waipa District,Waikato RTO,Waikato
Wairoa Di,Wairoa District,Hawke's Bay RTO,Hawke's Bay
Waitaki Di - North,Waitaki District,Waitaki RTO,Canterbury
Waitaki Di - South,Waitaki District,Waitaki RTO,Otago
Waitomo Di,Waitomo District,Waikato RTO,Waikato
Wanganui Di,Wanganui District,Wanganui RTO,Manawatu-Wanganui
Wellington City,Wellington City,Wellington RTO,Wellington
Western Bay of Plenty Di,Western Bay of Plenty District,Bay of Plenty RTO,Bay of Plenty
Westland Di,Westland District,West Coast RTO,West Coast
Whakatane Di,Whakatane District,Kawerau-Whakatane,Bay of Plenty
Whangarei Di,Whangarei District,Northland RTO,Northland
